,name,totalError,hf,refHf,ie,refIe,dipole,refDipole,geomError,hfError,ieError,dipoleError
83,83-H10C6,736.7101675403316,-10.298747172525252,-1.1,9.584272054730173,,0.06762706013633507,,36.11352151192931,-9.198747172525252,,
84,84-H10C6,556.2113969097098,-3.7435525600672035,2.3,9.720802433496598,,0.05896288829165555,,32.239319762160456,-6.043552560067203,,
85,85-H10C6,535.6473199774873,-3.1483377567786595,3.5,9.723524821677271,,0.08074094376530555,,31.351137939452173,-6.648337756778659,,
86,86-H10C6,5.772537982933042,28.497389340127484,30.9,10.445706898413992,,4.61553393293994e-06,,,-2.402610659872515,,
87,87-H10C6,578.5929408257742,-9.990650763665359,-1.1,9.751662752933015,10.3,0.0016738000171666232,,30.64251609030207,-8.89065076366536,-0.5483372470669856,
88,88-H11C6,96.32947075480268,186.8147578041846,177.0,16.581666014878554,,4.934248081242006,,,9.814757804184609,,
89,89-H12C6,421.19583613404086,-9.149004060804735,-10.1,9.94407366644544,,0.0388119875358182,,28.992807482466233,0.9509959391952645,,
90,90-H12C6,620.7232116607166,-7.291070022214427,-15.7,9.814682081855132,,0.07956455054789403,,33.16664313099581,8.408929977785572,,
91,91-H12C6,415.8776656171334,-13.238205227003585,-16.8,9.487367479943403,,4.8152192573878834e-06,,28.396876011709065,3.561794772996416,,
92,92-H12C6,664.0097763852957,-12.442159187079287,-14.8,9.604699768276378,,0.05609540667039275,,36.28912683122097,2.3578408129207133,,
93,93-H12C6,35.305135493275074,-5.858187524561629,-11.8,9.957701240017043,,0.05136596454013701,,,5.941812475438372,,
94,94-H12C6,680.0022327977088,-34.84667220719219,-29.5,11.743277578837173,10.3,2.2296939458069746e-06,,29.769457910722473,-5.346672207192192,1.4432775788371721,
95,95-H14C6,783.9715535630298,-26.12841025942699,-44.4,11.886645937268431,,0.010922027896281864,,30.004018461373366,18.27158974057301,,
96,96-H14C6,690.2747506677849,-27.814214792858532,-42.5,11.839888518268326,,1.298365175475026e-06,,30.80916952848583,14.685785207141468,,
