,name,totalError,hf,refHf,ie,refIe,dipole,refDipole,geomError,hfError,ieError,dipoleError
54,54-H10C4,287.8787331397319,-33.11718774159737,-32.4,12.032892068052076,11.4,0.0029741725288363247,,22.24001519346203,-0.7171877415973711,0.632892068052076,
55,55-H10C4,419.62080539625975,-36.03748767332766,-30.4,12.10937598390477,11.2,2.518275188782309e-07,,24.703970131096806,-5.637487673327662,0.9093759839047699,
56,56-H5C5,73.70845803056538,15.617238954651132,21.3,2.0908043973304786,,5.7384169739724504e-08,,9.101064216016809,-5.682761045348869,,
57,57-H6C5,213.18376155156,27.286401369164828,32.1,9.018849595104435,8.57,0.20370872029471881,0.42,17.386987479124784,-4.813598630835173,0.44884959510443423,-0.21629127970528117
58,58-H8C5,144.48347683605104,34.37987201249292,46.4,9.510618073922073,,0.345904593830713,,,-12.020127987507081,,
59,59-H8C5,264.8379659362315,18.18878336719796,25.3,9.866249844915933,,0.016316506739306534,,20.70113832317397,-7.111216632802041,,
60,60-H8C5,331.252672209016,14.06068512204267,19.1,9.022543242694585,,0.05192452937014927,,24.73289217903211,-5.039314877957331,,
61,61-H8C5,177.68629058802787,13.001423787352566,18.1,9.33288677369504,,0.05603518434580111,,17.417853552711577,-5.098576212647435,,
62,62-H8C5,528.5658210181145,24.857594430323065,37.3,10.443164890438691,,0.09375746445183829,,27.340532718211144,-12.442405569676932,,
63,63-H8C5,572.3712328817251,-5.507861697567453,8.3,9.664066040561647,9.18,0.035306235351924425,0.2,26.36029516581669,-13.807861697567454,0.4840660405616468,-0.16469376464807559
64,64-H8C5,162.8540260816118,17.29935644688875,18.0,9.12594959287403,,0.11623782118302435,,18.0201623018826,-0.7006435531112487,,
65,65-H8C5,928.999304554555,5.5090636149797065,29.1,9.838680528982898,,0.0055020105275367685,,27.293479991839835,-23.590936385020296,,
